content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"CS nya lemot skrng bibit, ga kaya dulu pas butuh bantuan gercep, skrng mh buat bales 1 chat aja butuh 10-15 menit .. Haduuh",1,Negatif,cs nya lemot skrng bibit ga kaya dulu pas butuh bantuan gercep skrng mh buat bales  chat aja butuh  menit  haduuh,cs nya lemot skrng bibit ga kaya pas butuh bantuan gercep skrng mh bales chat aja butuh menit haduuh,"['cs', 'nya', 'lemot', 'skrng', 'bibit', 'ga', 'kaya', 'pas', 'butuh', 'bantuan', 'gercep', 'skrng', 'mh', 'bales', 'chat', 'aja', 'butuh', 'menit', 'haduuh']",cs nya lot skrng bibit ga kaya pas butuh bantu gercep skrng mh bales chat aja butuh menit haduuh
Pencairan lama lebih dari 3 hari,1,Negatif,pencairan lama lebih dari  hari,pencairan,['pencairan'],cair
"Aplikasi investasi di bibit sangat paling manfaat untuk bagi pemula, dan saya suka di aplikasi bibit, bila kita kurang tau bangaimana caranya, langsung di respon, dgn cepat dan baik. Dan sangat menguntungkan ,bagi semua orang terimakasih.",5,Positif,aplikasi investasi di bibit sangat paling manfaat untuk bagi pemula dan saya suka di aplikasi bibit bila kita kurang tau bangaimana caranya langsung di respon dgn cepat dan baik dan sangat menguntungkan bagi semua orang terimakasih,aplikasi investasi bibit manfaat pemula suka aplikasi bibit tau bangaimana langsung respon dgn cepat menguntungkan orang terimakasih,"['aplikasi', 'investasi', 'bibit', 'manfaat', 'pemula', 'suka', 'aplikasi', 'bibit', 'tau', 'bangaimana', 'langsung', 'respon', 'dgn', 'cepat', 'menguntungkan', 'orang', 'terimakasih']",aplikasi investasi bibit manfaat mula suka aplikasi bibit tau bangaimana langsung respon dgn cepat untung orang terimakasih
"Kalau mau upgrade Memang wajib banget registrasi bank jago gitu? Jangan maksain investor dong. Hak kita pakai rekening bank yg kita percaya. Ini suatu kemunduran loh, menghambat kemudahan investasi.",1,Negatif,kalau mau upgrade memang wajib banget registrasi bank jago gitu jangan maksain investor dong hak kita pakai rekening bank yg kita percaya ini suatu kemunduran loh menghambat kemudahan investasi,upgrade wajib banget registrasi bank jago gitu maksain investor hak pakai rekening bank yg percaya kemunduran loh menghambat kemudahan investasi,"['upgrade', 'wajib', 'banget', 'registrasi', 'bank', 'jago', 'gitu', 'maksain', 'investor', 'hak', 'pakai', 'rekening', 'bank', 'yg', 'percaya', 'kemunduran', 'loh', 'menghambat', 'kemudahan', 'investasi']",upgrade wajib banget registrasi bank jago gitu maksain investor hak pakai rekening bank yg percaya mundur loh hambat mudah investasi
habis di update malah lelet bangeeettt.... Tolong dong respon admin... saya sudah email juga,1,Negatif,habis di update malah lelet bangeeettt tolong dong respon admin saya sudah email juga,habis update lelet bangeeettt tolong respon admin email,"['habis', 'update', 'lelet', 'bangeeettt', 'tolong', 'respon', 'admin', 'email']",habis update lelet bangeeettt tolong respon admin email
bagus buat pemula,5,Positif,bagus buat pemula,bagus pemula,"['bagus', 'pemula']",bagus mula
update nya mantap.,5,Positif,update nya mantap,update nya mantap,"['update', 'nya', 'mantap']",update nya mantap
"beli Reksadana & obligasi jadi mudah banget, edukasi nya juga bikin pintar nasabah",5,Positif,beli reksadana  obligasi jadi mudah banget edukasi nya juga bikin pintar nasabah,beli reksadana obligasi mudah banget edukasi nya bikin pintar nasabah,"['beli', 'reksadana', 'obligasi', 'mudah', 'banget', 'edukasi', 'nya', 'bikin', 'pintar', 'nasabah']",beli reksadana obligasi mudah banget edukasi nya bikin pintar nasabah
aplikasi bgus buat menabung dan memahami berinvestasi,5,Positif,aplikasi bgus buat menabung dan memahami berinvestasi,aplikasi bgus menabung memahami berinvestasi,"['aplikasi', 'bgus', 'menabung', 'memahami', 'berinvestasi']",aplikasi bgus tabung paham investasi
enak buat nabung disini,5,Positif,enak buat nabung disini,enak nabung,"['enak', 'nabung']",enak nabung
"Pencairan dana 7 hari kerja, seharusnya bibit membuat pencairan dana yang jauh lebih cepat maksimal 30 hari kerja atau 365 hari kerja,sangat cepat,top up sat set penarikan dana ngarett kecewa lah pokoknya",1,Negatif,pencairan dana  hari kerja seharusnya bibit membuat pencairan dana yang jauh lebih cepat maksimal  hari kerja atau  hari kerjasangat cepattop up sat set penarikan dana ngarett kecewa lah pokoknya,pencairan dana kerja bibit pencairan dana cepat maksimal kerja kerjasangat cepattop up sat set penarikan dana ngarett kecewa pokoknya,"['pencairan', 'dana', 'kerja', 'bibit', 'pencairan', 'dana', 'cepat', 'maksimal', 'kerja', 'kerjasangat', 'cepattop', 'up', 'sat', 'set', 'penarikan', 'dana', 'ngarett', 'kecewa', 'pokoknya']",cair dana kerja bibit cair dana cepat maksimal kerja kerjasangat cepattop up sat set tari dana ngarett kecewa pokok
aplikasi yg sangat bagus,5,Positif,aplikasi yg sangat bagus,aplikasi yg bagus,"['aplikasi', 'yg', 'bagus']",aplikasi yg bagus
bagus utk investasi jangka panjang dan pendek,5,Positif,bagus utk investasi jangka panjang dan pendek,bagus utk investasi jangka pendek,"['bagus', 'utk', 'investasi', 'jangka', 'pendek']",bagus utk investasi jangka pendek
Alhamdulillah berkat aplikasi bibit,4,Positif,alhamdulillah berkat aplikasi bibit,alhamdulillah berkat aplikasi bibit,"['alhamdulillah', 'berkat', 'aplikasi', 'bibit']",alhamdulillah berkat aplikasi bibit
"Aplikasi bibit sangat berkualitas dan canggih, cocok buat investasi pemula.",5,Positif,aplikasi bibit sangat berkualitas dan canggih cocok buat investasi pemula,aplikasi bibit berkualitas canggih cocok investasi pemula,"['aplikasi', 'bibit', 'berkualitas', 'canggih', 'cocok', 'investasi', 'pemula']",aplikasi bibit kualitas canggih cocok investasi mula
"apk nya mantp buat nabung jangka panjang , paling TOP √",4,Positif,apk nya mantp buat nabung jangka panjang  paling top ,apk nya mantp nabung jangka top,"['apk', 'nya', 'mantp', 'nabung', 'jangka', 'top']",apk nya mantp nabung jangka top
"Apk tidak bisa membuka semua data,loading terus tidak bisa terbaca",1,Negatif,apk tidak bisa membuka semua dataloading terus tidak bisa terbaca,apk membuka dataloading terbaca,"['apk', 'membuka', 'dataloading', 'terbaca']",apk buka dataloading baca
G bisa nambahin akun rekening pas bagian foto gak bisa,1,Negatif,g bisa nambahin akun rekening pas bagian foto gak bisa,g nambahin akun rekening pas foto gak,"['g', 'nambahin', 'akun', 'rekening', 'pas', 'foto', 'gak']",g nambahin akun rekening pas foto gak
"mantap., recommend banget",5,Positif,mantap recommend banget,mantap recommend banget,"['mantap', 'recommend', 'banget']",mantap recommend banget
membantu untuk menabung,5,Positif,membantu untuk menabung,membantu menabung,"['membantu', 'menabung']",bantu tabung
"Kita bisa karena terbiasa, ayo semua berinvestasi di bibit dengan kode referral ""pintarbanget"" kamu bisa dapat Cashback.. hingga 100rb lohh..... cepet jangan tunggu lagi mulai aja dulu yuk !!",5,Positif,kita bisa karena terbiasa ayo semua berinvestasi di bibit dengan kode referral pintarbanget kamu bisa dapat cashback hingga rb lohh cepet jangan tunggu lagi mulai aja dulu yuk ,terbiasa ayo berinvestasi bibit kode referral pintarbanget cashback rb lohh cepet tunggu aja yuk,"['terbiasa', 'ayo', 'berinvestasi', 'bibit', 'kode', 'referral', 'pintarbanget', 'cashback', 'rb', 'lohh', 'cepet', 'tunggu', 'aja', 'yuk']",biasa ayo investasi bibit kode referral pintarbanget cashback rb lohh cepet tunggu aja yuk
Yuk melek investasi. Pke kode referal akuu yaa ayuijo. Tks smg rezekinya berlimpah berkah 😊,5,Positif,yuk melek investasi pke kode referal akuu yaa ayuijo tks smg rezekinya berlimpah berkah ,yuk melek investasi pke kode referal akuu yaa ayuijo tks smg rezekinya berlimpah berkah,"['yuk', 'melek', 'investasi', 'pke', 'kode', 'referal', 'akuu', 'yaa', 'ayuijo', 'tks', 'smg', 'rezekinya', 'berlimpah', 'berkah']",yuk melek investasi pke kode referal akuu yaa ayuijo tks smg rezeki limpah berkah
Joss tenan..! Jadi bisa belajar dan nabung investasi maju terus bersama Bibit,5,Positif,joss tenan jadi bisa belajar dan nabung investasi maju terus bersama bibit,joss tenan belajar nabung investasi maju bibit,"['joss', 'tenan', 'belajar', 'nabung', 'investasi', 'maju', 'bibit']",joss tenan ajar nabung investasi maju bibit
aplikasinya bagus,5,Positif,aplikasinya bagus,aplikasinya bagus,"['aplikasinya', 'bagus']",aplikasi bagus
Upgrade ke bibitplus. Kukira ada peningkatan luar biasa. Ternyata nambah rekening bank jago dan rdn bank jago..😑 daripada berusaha keras mengarahkan orang ke bank jago. Lebih baik tunjukkan kelebihan istimewanya daripada bank lain di aplikasi bibit.,1,Negatif,upgrade ke bibitplus kukira ada peningkatan luar biasa ternyata nambah rekening bank jago dan rdn bank jago daripada berusaha keras mengarahkan orang ke bank jago lebih baik tunjukkan kelebihan istimewanya daripada bank lain di aplikasi bibit,upgrade bibitplus kukira peningkatan nambah rekening bank jago rdn bank jago berusaha keras mengarahkan orang bank jago tunjukkan kelebihan istimewanya bank aplikasi bibit,"['upgrade', 'bibitplus', 'kukira', 'peningkatan', 'nambah', 'rekening', 'bank', 'jago', 'rdn', 'bank', 'jago', 'berusaha', 'keras', 'mengarahkan', 'orang', 'bank', 'jago', 'tunjukkan', 'kelebihan', 'istimewanya', 'bank', 'aplikasi', 'bibit']",upgrade bibitplus kira tingkat nambah rekening bank jago rdn bank jago usaha keras arah orang bank jago tunjuk lebih istimewa bank aplikasi bibit
cukup baguss meskipun UI nya kurang greget,5,Positif,cukup baguss meskipun ui nya kurang greget,baguss ui nya greget,"['baguss', 'ui', 'nya', 'greget']",baguss ui nya greget
"Hati hati buat yg mau invest disini, ketika udah bnyk masuk tiba² app nya lemot dan gapernah bisa liat hasil invest kita",5,Positif,hati hati buat yg mau invest disini ketika udah bnyk masuk tiba app nya lemot dan gapernah bisa liat hasil invest kita,hati hati yg invest udah bnyk masuk app nya lemot gapernah liat hasil invest,"['hati', 'hati', 'yg', 'invest', 'udah', 'bnyk', 'masuk', 'app', 'nya', 'lemot', 'gapernah', 'liat', 'hasil', 'invest']",hati hati yg invest udah bnyk masuk app nya lot gapernah liat hasil invest
Mantap Fast respon,5,Positif,mantap fast respon,mantap fast respon,"['mantap', 'fast', 'respon']",mantap fast respon
trmksih atas bantuan nya..sya sudah masuk akun sya kmbali,5,Positif,trmksih atas bantuan nyasya sudah masuk akun sya kmbali,trmksih bantuan nyasya masuk akun sya kmbali,"['trmksih', 'bantuan', 'nyasya', 'masuk', 'akun', 'sya', 'kmbali']",trmksih bantu nyasya masuk akun sya kmbali
"Sayangnya detail transaksi waktu pembelian tidak ada, hanya ada tanggal ketika transaksi berhasil dilakukan",4,Positif,sayangnya detail transaksi waktu pembelian tidak ada hanya ada tanggal ketika transaksi berhasil dilakukan,sayangnya detail transaksi pembelian tanggal transaksi berhasil,"['sayangnya', 'detail', 'transaksi', 'pembelian', 'tanggal', 'transaksi', 'berhasil']",sayang detail transaksi beli tanggal transaksi hasil
tempat belajar investasi pemula yg paling rekomen,5,Positif,tempat belajar investasi pemula yg paling rekomen,belajar investasi pemula yg rekomen,"['belajar', 'investasi', 'pemula', 'yg', 'rekomen']",ajar investasi mula yg rekomen
mudah diaplikasikan cocok untuk investasi pemula,5,Positif,mudah diaplikasikan cocok untuk investasi pemula,mudah diaplikasikan cocok investasi pemula,"['mudah', 'diaplikasikan', 'cocok', 'investasi', 'pemula']",mudah aplikasi cocok investasi mula
aplikasi yang memudahkan untuk investasi,5,Positif,aplikasi yang memudahkan untuk investasi,aplikasi memudahkan investasi,"['aplikasi', 'memudahkan', 'investasi']",aplikasi mudah investasi
"aplikasi nya sangat membantu untuk kita yang baru saja berinvestasi, Tolong tambahkan fitur pembayaran aplikasi melalui DANA🙏",5,Positif,aplikasi nya sangat membantu untuk kita yang baru saja berinvestasi tolong tambahkan fitur pembayaran aplikasi melalui dana,aplikasi nya membantu berinvestasi tolong tambahkan fitur pembayaran aplikasi dana,"['aplikasi', 'nya', 'membantu', 'berinvestasi', 'tolong', 'tambahkan', 'fitur', 'pembayaran', 'aplikasi', 'dana']",aplikasi nya bantu investasi tolong tambah fitur bayar aplikasi dana
"Keren aplikasinya, memudahkan kita dalam berinvestasi",5,Positif,keren aplikasinya memudahkan kita dalam berinvestasi,keren aplikasinya memudahkan berinvestasi,"['keren', 'aplikasinya', 'memudahkan', 'berinvestasi']",keren aplikasi mudah investasi
Mau upgrade bibit plus gak bisa. Karena terlanjur pakai jago syariah. Aplikasi yang tidak praktis. Jadi gak bisa beli SBN. 👎👎👎👎👎,1,Negatif,mau upgrade bibit plus gak bisa karena terlanjur pakai jago syariah aplikasi yang tidak praktis jadi gak bisa beli sbn ,upgrade bibit plus gak terlanjur pakai jago syariah aplikasi praktis gak beli sbn,"['upgrade', 'bibit', 'plus', 'gak', 'terlanjur', 'pakai', 'jago', 'syariah', 'aplikasi', 'praktis', 'gak', 'beli', 'sbn']",upgrade bibit plus gak lanjur pakai jago syariah aplikasi praktis gak beli sbn
semoga sukses app nya sangat mudah dipahami,5,Positif,semoga sukses app nya sangat mudah dipahami,semoga sukses app nya mudah dipahami,"['semoga', 'sukses', 'app', 'nya', 'mudah', 'dipahami']",moga sukses app nya mudah paham
waulau baru sebulan saya merasakan keseruan nabung reksa dana di bibit . asyik banget deh,5,Positif,waulau baru sebulan saya merasakan keseruan nabung reksa dana di bibit  asyik banget deh,waulau sebulan merasakan keseruan nabung reksa dana bibit asyik banget deh,"['waulau', 'sebulan', 'merasakan', 'keseruan', 'nabung', 'reksa', 'dana', 'bibit', 'asyik', 'banget', 'deh']",waulau bulan rasa seru nabung reksa dana bibit asyik banget deh
sangat mudah digunakan,5,Positif,sangat mudah digunakan,mudah,['mudah'],mudah
Buat beli saham tiba2 lost koneksiny akirny beli lewt stockbit dan stlh beli malah error bibitny gk mau kebuka porto sy,4,Positif,buat beli saham tiba lost koneksiny akirny beli lewt stockbit dan stlh beli malah error bibitny gk mau kebuka porto sy,beli saham lost koneksiny akirny beli lewt stockbit stlh beli error bibitny gk kebuka porto sy,"['beli', 'saham', 'lost', 'koneksiny', 'akirny', 'beli', 'lewt', 'stockbit', 'stlh', 'beli', 'error', 'bibitny', 'gk', 'kebuka', 'porto', 'sy']",beli saham lost koneksiny akirny beli lewt stockbit stlh beli error bibitny gk buka porto sy
