userName,score,at,content
Deas dan Daffa Creative,5,2023-05-27 17:56:24,"Aplikasi yg mudah dan bermanfaat bagi yang ingin masa depan cerah,gunakan kode refelal , amanahasep , buat kalian yg baru Download...ada cashback 25,000 ribu buat kalian saat berinvestasi di Bibit."
Syahrul kaka,4,2023-05-27 2:50:54,"Aplikasinya bagus untuk pemula , simple , tapi saat membuka aplikasi sangat lama sekali , dan saat membeli saham kenapa selalu saja tidak bisa , padahal kalau buat beli reksadan , obligasi dll bisa enak banget"
Andybogo Sahabat,5,2023-05-26 8:21:08,"sangat baik untuk pemula yang belajar berinvestasi, dilengkapi dengan edukasi melalui email sangat bermanfaat 🙏"
Irwansyah Smd,5,2023-05-25 13:07:08,Sudah mendaftar sesuai petunjuk dan sudah berhasil sesuai petunjuk pas mau buka lagi aplikasi nya enda bisa lagi apa bibit ini cuma scammer saja okey
Bima Harlly Putra Pratama,2,2023-05-25 10:41:03,"bibit pencairan dananya lama sekali, kondisi lagi butuh uang karna kebutuhan mendadak, padahal penyelesaian transaksinya udah 2 hari lalu dan saldo belum masuk ke rekening"
Jae Udin,3,2023-05-25 4:57:38,ko aplikasinya dibuka gk bisa ya min admin? disuruh download android web ttep aja gk bisa dibuka giman Pak/Bu admin
js siumey,5,2023-05-24 10:26:58,"Tempat investasi yg mudah dimengerti oleh pemula.. pilihan Reksadana ny juga banyak 👍👍👍 untuk yg mau daftar bisa pake kode referral saya ya ""alwayscuan"" 😁 semoga kita semua always cuan bareng 😄 😁"
Devi septiyani,5,2023-05-24 3:16:00,"Cocok buat anak muda yang mau bljr invest, aplikasinya easy to use bgttt apalagi ada fitur nabung challange itu bikin aku jdi terbiasa utk nabung, isi kode refferal ""racundevi"" biar kamu dpt tambahan cashback ya guysssss gak nyesel deh nabung dibibit👍"
Bahrudin Yusuf,1,2023-05-23 15:31:24,"Aplikasi sampah, pembohongan doang masak investasi udah dua tahun malah terus merugi gak cocok sama realita di pasar sahamnya, manager investasinya tolol apa aplikasinya yang gak transparan, kecewa udah rugi jutaan selama 2-3 tahun ini."
Zildan 011,5,2023-05-23 10:56:33,"Udah cocok banget sama bibit ,solusi nabung dan investasi"
hmmmhmm,1,2023-05-23 10:52:15,"Pencarian lambat,tidak sesuai perkiraan"
Lukmanul Hakim,4,2023-05-23 10:36:42,"Tolong ditambah lagi produknya seperti Syailendra pendapatan tetap premium, sucorinvest anak pintar dll"
Eka,1,2023-05-23 9:14:18,"jual obligasi dari tgl 16 mei sampai skrg dana belum masuk rekening, biasanya 2 hari kerja sdah masuk . klau bisa cepat , knp harus pkai maksimal estimasi pling akhir ！ pikir 2 kali beli aset dsini,. lagi"
Aji Khenthis,2,2023-05-23 6:41:21,"Pencairan rdn katanya maksimum 3 hari kerja nyatanya lebih sampe 5 hari, lagi butuh cepet padahal"
Paulus Indra,5,2023-05-23 2:22:54,sangat bagua dan membantu kami mencapai target tujuan kami👍
hans cik,5,2023-05-23 1:31:19,mudah penggunaan dan bermanfaat
Userrr Samsung,5,2023-05-22 23:00:16,"saya senang sekali dengan aplikasi bibit, karena di bibit itu pelayannan baik dan aman sukses salalu bibit"
Dwi Purwanto,4,2023-05-22 22:01:43,"mudah dipelajari,banyak keuntungan,banyak gratis,banyak promo,banyak hadiah. pilihan produk bisa diperbanyak. praktis,cepat bisa langsung dapat tanpa alasan dan gangguan. bijak tidak memaksa,tidak menipu. tanpa pajak dan biaya admin. aman dapat dipercaya. banyak bantuan,jangan ragu."
Juwita yosefanya Cibro,5,2023-05-22 11:06:30,"huaaaaa......Nabung pake bibit sungguh sangat cocok buat pemula, apalagi untuk belajar investasi. Nih buat kalian yang mau join boleh yah pake kode ref aku ""umatberkah"". Nanti kalian bakal dapat 25rb secara cuma2 lumayankan sebagai langkah awal kalian mulai nabung dan inves. Belum mulai ehhh udah dapat untung. Yuhuyyyyy yuk inveslah sejak muda."
akhib asparudin,3,2023-05-22 8:47:06,Kenapa bibit saya tidak bisa menampilkan nilai portofolio?
Zni20,2,2023-05-22 4:40:12,"kecewa sama bibit,, karena.. Pencairan Dana, atau Penjualan Sham terlalu memakan waktu hingga seminggu di saat pengguna sedang butuh uang,, _- kecewanya di situ aja si, kalau soal aman 👍🏻 tapi lemotnya masuk ke rekening itu-_"
Cv Setiaji,1,2023-05-22 4:34:13,Harus instal dan daftar akun di bank jago. Saya tidak mau instal tidak bisa melakukan pembelian
ASQ AUDIO,4,2023-05-20 13:42:45,Mohon tambahkan syailendra pendapatan tetap premium....gara gara syailendra aku jadi pake dua aplikasi bibit dan bareksa... please gaet syailendra pendapatan tetap premium agar aku cuma pake bibit saja... Ditunggu kabar baiknya
rizka handayani,4,2023-05-20 2:05:39,cara pake nya gampang dan minimum investasinya juga sangat mudah dijangkau
ADE Sumarna,1,2023-05-19 16:22:14,"Sangat sangat mengecewakan , mau berinvestasi aja seribet ini , alasan nya akun bank dll beda sama apk sebelah , jangan download klo ga mau ribet"
Muhammad Rafli Yudiansyah,3,2023-05-19 9:50:50,"Sistem pembelian sama penjualan diperbaiki, masa iya bisa sampe 1-2 minggu gokilll"
Krisna Sadewa,2,2023-05-18 22:21:17,Di aplikasi Nilai Jual nya tertera Sekian dan order jual berhasil... Eh yg masuk Rekening Gak sama Nilai nya 🥲 Bibit bisa bantu kahh?
Alza Rendian,5,2023-05-18 7:05:52,so far so good. Terus ditingkatkan terus fasilitasnya ya.
Elga Rian Ardiyansa,4,2023-05-17 14:41:14,Sudah saatnya bibit menghadirkan fitur dark mode di update aplikasi selanjutnya..agar kami bisa memilih antara pakai dark mode atau tidak... Seperti di stockbit
Aleman Alung,4,2023-05-16 23:37:03,trs di tingkat kan lagi pitur pitur nya lebih komplit lagi mudah di fahami n smart
Faisal Thobry,1,2023-05-16 6:48:12,"ribet,mau tarik saldo ja gk cair"". di prosesur 3 hari kerja. gk konsisten 🖕👎"
Diana Nayla,1,2023-05-15 5:49:19,"Saya daftar dari bulan april sampai sekarang masih disuruh nunggu verifikasi data, udah komplain lebih dari 3x belum ada solusi sampai sekarang, heran deh🥲"
Rio Budi harto,5,2023-05-15 2:14:55,"untuk aplikasi sangat mudah dj gunakan, tetapi kalau bisa proses withdraw di percepat jangan menunggu 3 hari kerja. overall keren si bibit"
Rizky Nainggolan,5,2023-05-14 16:45:09,"Keren!!! nambah untuk jangka panjang. investasi cocok buat pemula mudah dipahami dan praktis. saya sudah menggunakan aplikasi ini di reksadana pasar uang dan obligasi. Gunakan kode referral ini ""pagicerah"" untuk dapatkan cashback 25k. ayo investasi dan nabung rutin dari sekarang."
Endrio Anugrah,5,2023-05-13 20:31:05,Thanks to our advertiser dikarenakan saya menganggap bahwa mereka udah ada diwa ini apa yang tepat untuk usaha saya sudah bisa digunakan sebagai alat untuk digunakannya usaha saya sendiri juga saya sendiri juga tidak bisa dan saya banyak belajar dari postingan kali ini saya akan memberikan banyak terima kasih atas perhatiannya BALANGAplk 86 Kalteng pak 🙏🙏🙏🏡🌃
Syafiqullah Azmy,1,2023-05-13 11:44:41,Mau upgrade bibit plus tapi harus video call sinyal sudah stabil tapi gagal terus harusnya tinggal foto dokumen data diri aja biar lebih mudah. Nga usah lah nyari user baru kalau prosedurnya kyak gini
putra kujang,5,2023-05-12 22:19:08,"sejauh ini aplikasi masih bagus, mudah2an dapat dipertahankN"
MOHAMAD SURYA GHANI,5,2023-05-11 19:57:01,"bagus utk pemula, tapi ga bisa dibilang beli saham karena pakai jasa mediator dri bibit, cmn utk draw uang kembali lama bnget"
M.Hanif f,5,2023-05-11 15:10:38,Yang baru download dan mau dapetin cashback sebesar 250000 masukkan kode referal ini ( nkzmfpw ) dijamin langsung masuk cashback setelah membeli portofolio pertama. Terima kasih 🙏
Jonathan Orlen,5,2023-05-11 3:03:56,Tampilan simple sangat mudah dimenegerti
Fans MIKASA,5,2023-05-10 19:55:07,"App yg sangat membantu kita untuk menabung sekaligus mendapatkan keuntungan dn ilmu yg baik,dan ada BONUS saldo sampai 100k jika kamu masukkan kode referral ini >mulaisahamdarinol<"
Langga Gustanto,4,2023-05-10 19:14:04,cocok utk pemula yang ingin belajar investasi
April 4413,5,2023-05-10 14:55:35,sangat mudah di mengerti
Ahmad Ade,5,2023-05-10 4:12:49,"Bibit makin keren, semua lengkap disini dari RD, Obligasi, Saham, sampai saldo RDN ada dalam 1 aplikasi jadi ga usah repot buat cek Portfolio 😁"
Luqman Zuhdi,5,2023-05-10 2:48:18,"Selama saya pakai bagus aplikasinya, tapi kadang berat waktu awal masuk (stuck agak lama di logo bibit). Sama saya mau ngasih saran barangkali bisa dipertimbangkan : karena kemarin bibit udah tambah fitur beli saham dan fitur beli obligasi fr, mungkin kedepannya bisa ditambah fitur jual beli mata uang asing, emas atau crypto sekalian? Atau bisa jadi Stockbit disatukan ke bibit sekalian biar bibit jadi super app investasi?"
Yuli Setiawan,5,2023-05-10 1:56:50,bagus bisa buat investasi pemula. simple dan mudah.
Rewards Fake,1,2023-05-09 13:11:48,"OTP sdh di masukan sampe hitungan mundur berakhir tdk ada tombol utk melanjutkan,maaf sy Uninstall."
Khadijah Yusuf,3,2023-05-09 10:18:07,Mau tambah rekening bank susah banget proses perekaman wajah nya itu susah dan terlalu capet jadi waktu mau ikutin arahan di aplikasi nya itu susaah baanget tolong dong lebih di permudah lagi.
Nurdin A. Alawiyah,4,2023-05-09 1:40:11,"Tolong perbaiki performa aplikasinya, di saya sering force close"
Sandi Kisworo,1,2023-05-08 22:50:03,"Aplikasi jelek, untuk proses wd sampai 1 bulan"
Rafqi Hakim Channel,1,2023-05-08 12:55:00,Loading nya lama banget dan sering keluar sendiri mohon diperbaiki
Fauzan Yunianto,5,2023-05-08 8:33:00,"Menu data pribadi saya berwarna abu² dan tidak bisa di klik, sudah saya lakukan reinstal tetap saja. Edit : Sudah bisa menu data pribadinya, thx u min penanganan kurang dari 1 hari kerja"
Baharudin Yusuf,2,2023-05-08 7:03:00,Loading lama dan keluar terus. Harus ganti jaringan dulu
Chindy Tawa,2,2023-05-08 6:40:45,Saat buka aplikasi loadingnya lama dan perlu reload app
Jejen Jaenudin,5,2023-05-07 11:56:50,"senang sekali berinves di bibit selain mudah, tranfaran dan jelas , mudah2an jadi jutawan"
Farhannovry Andani,2,2023-05-07 5:19:33,setelah update apk ny sering keluar sendiri. nyesel update jadi nya.
Dumaria Bengkalis,1,2023-05-07 0:28:35,Apa yang terjadi kenapa bibit kok susah di buka padahal kan jaringan bagus setiap kali login pasti kembali sendiri ke menu padahal ngak di tekan atau di kembalikan gimana ni min tolong dong
David Vences,2,2023-05-06 14:07:37,"Ini apk nya Kok lama kelamaan susah masuk nya loading lama, tiba2 keluar sendiri, tolong di perbaiki"
Frans Pasca Wijaya,5,2023-05-06 4:14:26,"Mantap benar investasi di bibit, walaupun hasil imbalannya sedikit penambahannya. gpp lah, sedikit demi sedikit akan menjadi bukit juga ko 🙏🙏😊😊"
Rakhma Dianti Susilowati,1,2023-05-05 3:34:51,Mau penarikan dana aja ribet banget gak kyak yang sebelah cepat gak pakai ribet..
Valensiana Vortunata,2,2023-05-03 22:32:18,Semenjak ku upgrade aplikasinya yg konek ke stockbit dan bank jago. Jadi susah masuk loadingnya lama gk gercep. Padahal udah seneng bgt bisa kekonek ke segala hal. Please be better!
Heumpry Palijama,5,2023-05-03 10:55:42,Aplikasi sangat bagus dan berguna buat finansial menabung mengubah hidup
Ran,4,2023-05-03 4:12:29,overal okey.... cuman untuk Penarikan dana mohon ditingkatkan agar tidak nunggu lama
Eternal Blessingshop,1,2023-05-02 9:16:51,"Apknya sudah bagus, cuman sayang sekali pencairannya lama banget, sudah 2 Minggu lebih saya nunggu pencairan belum cair juga, diperbaiki lagi ya min sistemnya"
taufiq toni,3,2023-05-02 4:14:26,Aplikasinya bagus. Untuk investasi juga bagus. Namun masalahnya untuk deposit dan penarikan masih tergolong lama kemungkinan sistemnya masih manual.. Perlu di tingkatkan lagi.
Al Fathanil,3,2023-05-02 2:24:55,"Kok portofolio saya gk bisa di tarik padahal sudah 3 hari lebih, padahal Penjualan dan Switching dapat dilakukan setelah 2 hari kerja.tolong di perbaiki"
It's Me Tiny,2,2023-05-01 22:19:33,"Untuk masalah pencairan dana lama banget,tertulis 7 hari kerja tapi udh 2 minggu lebih masi blm cair juga"
Diskusi Lain,5,2023-05-01 18:02:47,"Emang bagus buat nabung karena ribet untuk ditarik. Kalo uang ada di rekening, selalu kepikiran untuk depo 🤣🤣 Mana tahan.."
Farah Annisa zaini,1,2023-05-01 11:52:15,"Agak nyesel invest disini, duit ditaro disini biar gabisa ditarik2, eh sekalinya butuh penjualannya lama banget, belum yg order jual diterima, belum yang menunggu verifikasi bank kustodian, belum yg order jual berhasil, ngejual dr tgl 17 april, ketahan karna libur lebaran 19-25 april, smpe skrg itu uang jg bluman cair2, buat yg mau ambil duit jangan pas kepepet deh, not rekomen, saran mending ambil dr jauh2 minggu aja yaah."
