userName,score,at,content
Anindya Paramesti,1,2023-06-01 02:32:52,"Bareksa live chatnya g solutif, lambat dan menggantung. Uang 5 jt sy sudah masuk apa blm krn aps sy sttusnya menunggu pembayaran dan ketika sy klik malah ke menu pembayaran lg seolah² buat transaksi baru dan sy blm bayar. jawabannya muter² dr jam 5 pagi sampe jam 9. Udah masuk belum uang sy?? Knp sttus saya begitu? Beda bgt sama pelayanan bibit"
Kuntum Puspita,4,2023-05-31 10:39:03,"aplikasi mudah untuk investasi, semoga aman dan tidak kena virus"
Halimah Erika Martin,1,2023-05-31 07:26:31,"Skrg semuanya pake admin, juga SPT tahunan, belum lg skrg muncul virus""apa tau jadi ribet buat investasi"
Titan Raffa,3,2023-05-31 05:48:33,"Saya mau penarikan dana tp gagal terus,sudah coba tambah no rekening lain (beda bank), tetap tidak bisa,sudah update apk juga tidak bisa, koneksi internet juga lancar,apa ada solusi"
Agus Bjm,5,2023-05-31 01:09:29,cukup mudah transaksi di bareksa
Ari Cahyo Utomo,1,2023-05-30 15:48:33,"Menurut scanning antivirus Avast aplikasi Bareksa terindikasi sebuah virus yg jahat, jadi saya langsung menghapusnya. Tolong pihak Bareksa berikan penjelasannya."
Abi Yazid,1,2023-05-30 14:34:37,terdeteksi mengandung virus trojan
Putri Felisia Agus,4,2023-05-30 09:59:36,"Bagaimana penanganannya app bareksa bevirus, terdeteksi langsung dari hp saya. Tolong di tangani. Sudah di tangani Terimakasih"
Zaldi Masruri,5,2023-05-30 03:39:00,"pakai bareksa dari 2019, alhamdulillah bagus terus"
martina priyanti,5,2023-05-30 03:20:35,Fitur2nya mudah dipahami dan juga mudah digunakan.
Frilia Putri,5,2023-05-30 02:50:54,"Aplikasinya bagus, mudah digunakan, dan aman untuk berinvestasi"
살사Salsa,3,2023-05-29 04:17:36,"Biaya admin mahal... untuk top up rd pakai ovo (yg udah kerjasama aja) 1.000.. untuk jual rd dipotong 3.500 sebanyak 2 kali, pertama pas pilih rekening (beda bank) kedua pas uangnya udah masuk nominalnya dikurangi 3.500 lagi.. trus juga untuk cashback voucher rd lama bgt masuknya, baru masuk setelah 2 bulan sejak tgl pembelian. Kurang bersaing sama apk sebelah :)"
Darwin Syahputra,5,2023-05-28 06:56:07,Kerren dan praktis
Captain Joni,4,2023-05-27 18:35:07,cara ngundang orang lain gimana ? atau untuk menyebar kode refferal kita ke orang lain ?
Eggie Aditya Ramadhan,1,2023-05-27 07:35:39,"Verifikasi susah banget, udh seminggu lebih blm di acc juga, payah"
Wayan Pande Sudira,5,2023-05-26 12:35:54,"Bagus dan belum pernah error, Aplikasi luar biasa sukses Bareksa thank you."
Abd Asis,5,2023-05-26 07:18:31,Selamat datang semuga kita semua dalam lindungan Allah SWT amin barokallah
Ivan Avanka,1,2023-05-25 14:35:37,"Kk,sy hub cs ngak di balas sudah berapa kali,apa bareksa sekarang mulai pendiam,uang sy walau pun saldo nya kecil tapi sy sangat memerlukan nya kk,mandiri Investa cerdas bangsa kelasA telah tutup,kok ambil uang di persulit pakai saldo harus 250 juta segala,tolong kah OJK mohon di urus sy jadi tidak percaya lagi dgn aplikasi ini tolonglah sy org kecil,jangan di persulit"
sidik 61,5,2023-05-23 22:21:39,"Bagus aplikasinya, sangat lengkap dan simple"
Asep Suparman Babel,4,2023-05-23 03:43:28,Tolong iklan nya jgn timbul terus walaupun hape lagi nggak di gunakan..
adam maulana,1,2023-05-21 05:59:19,"proses pendaftaran sangat buruk , alasan foto selfie tidak sesuai kartu identitas padahal kartu dan foto selfie pribadi foto pun juga sudah sangat jelas. chat dengan cs juga tidak mendapat solusi hanya disuruh mengulang dan hasilnya sama"
Yonatan Krista,5,2023-05-19 04:57:26,Investasi jadi lebih mudah semudah genggaman
Mochammad Zulham Efendi,3,2023-05-18 11:38:22,Tidak bisa buat kantong - kantong Portofolio
ARCSKIII,5,2023-05-18 09:54:24,CS cepat respon dan menyelesaikan masalah saya sebelumnya.
Tri Wibowo,5,2023-05-16 04:55:05,Siiip lumyan berubah tampilanya
BISNIS KITA,1,2023-05-14 13:24:47,"Mau uninstall nih, benar² mengecewakan widthdraw kena fee dan lemot banget. Begitu juga saat pembelian emas minta data dan harus verifikasi ulang lagi"
alex winarko,5,2023-05-13 02:35:09,"Bareksa yang baik, saran saja, buatlah RDN di App nya agar gak ribet klu mau invest, jujur jadi agak malas, karena ribet transaksinya, semoga ada solusi, trims"
Siti Zainab,3,2023-05-12 22:36:10,"tidak bisa mengatasi inflasi,"
Benny Nathanael,1,2023-05-12 10:35:51,"KTP Seumur Hidup dibilang bukan e-KTP, verifikator bareksa lawak, Pakai Bibit aja"
Hariadi Hariadi,5,2023-05-10 09:19:03,"Masih baru, aplikasinya mudah dipahami dan panduannya juga ok aku mulai investasi di bareksa."
Myuz Top,2,2023-05-10 04:12:56,"Kenapa saya tidak bisa melakukan pembelian? Tidak muncul halaman pembayaran, yg ada cuma blank, Layar putih aja."
blue aesthete,5,2023-05-10 00:56:12,"Tolong tambahkan fitur ahli waris, karena akan sangat membantu utk pengguna dan lebih merasa secure, thanks"
achmad syaepudin,5,2023-05-09 07:29:39,saya kira ini sesuatu yang bagus buat investasi
imam Mujiono,2,2023-05-06 14:16:53,Kenapa kadang aplikasinya ngga bisa di buka? Padahal sudah di update loh...
AdiFeby Mokoagow,5,2023-05-06 07:20:33,"Panut di coba, kapan lagi meningkatkan aset"
Bustanul Arief,1,2023-05-05 00:20:52,"aplikasinya berat, biaya admin lumayan, cs gak responsif, gak bisa membatalkan order, kena fee materai meski cuma order dibawah 10jt dan ada orderan lain yg gak bisa dibatalkan meski keesokan harinya pasti batal"
Fithozee,1,2023-05-04 16:08:39,"Aku coba dulu, nanti kalo bagus aku tambah yah"
Yuni Awalia,5,2023-05-04 10:37:59,bagus untuk yg ingin investasi aman
Firman Syah,4,2023-05-04 04:05:35,mudah dipahami
Curious Chestnut,2,2023-05-02 09:52:59,"Rdpu yang seharusnya masa pencarian nya tidak lama,jadi sangat lama..hingga berhari hari. Parah"
Lorenzo “Rendencom Channel” Kessek,5,2023-05-01 00:36:30,"aplikasi yg bagus utk berinvestasi dgn aman, simpel dan gampang di monitor"
Langga Gustanto,2,2023-04-30 23:02:18,Jenis Reksadananya sedikit kurang lengkap. Semoga bs ditambah lagi agar pilihan investor bervariasi
Arta express,5,2023-04-30 15:07:31,kalau bisa virtual account gratis seperti BIBIT LEBIH CEPAT TRANSAKSI NYA
ANDHI SMAN1C,5,2023-04-28 23:13:46,"Aplikasi lancar, jelas infonya, mudah, banyak pilihan. Dari awal install hingga sekarang aplikasi lancar, pembelian lancar, penjualan lancar. Alhamdulillah."
rilwanul rizal,4,2023-04-28 15:55:16,"Tolong tambahkan data hak untuk ahli waris seperti pada apk bibit,, untuk antisipasi jika investor kenapa2, misal tidak ada transaksi selama jangka waktu tertentu, meninggal, kecelakaan, hilang ingatan dan lain2... Supaya yg nabung juga lebih nyaman menabung di bareksa."
Maria Fra,5,2023-04-28 14:04:37,utk pembayaran kalo bisa gratis utk smua metode
yodha andhika,5,2023-04-28 07:58:23,Ini kalau nanti verifikasi wajahnya gagal lg untuk yg ketiga kali bakal saya kasih rating bintang 1 ya 😊
Dian Manasye,1,2023-04-27 22:03:47,"Jual Reksadana lama, lebih cepat platform lain"
Julianto Daeli,2,2023-04-26 23:29:40,"Tolong, Biaya Admin Pembelian di tiada kan Saja, Dan untuk biaya transaksi pengiriman ke rekening dikurangi, Terlalu Melonjak ""3,500""... Saingan Aplikasi invest Banyak sekali, Ingat Jangan Karna ada beberapa Nasaba yg ingin berpindah aplikasi di karenakan Biaya"" Seperti yang saya sebutkan di atas. Inti Nya apa pun kalian ""devploper"" harus bisa mengerti bagaimana cara menarik perhatian nasabah yg ingin menggunakan aplikasi kalian. Dulu, Saya suka dengan aplikasi kalian. maaf, sekarang tidak."
Agung Kuswandi,5,2023-04-26 10:27:50,"Puas selalu cepat dalam pencarian dana dan pembelian, Ditingkatkan lagi kualitas nya, bravo Bareksa ✨"
Kian Lip,1,2023-04-24 08:00:18,"ketika masukan kode otp error terus, tidak bisa login. kapok inves di sini."
Putra Sidey,2,2023-04-19 04:20:16,"Dari segi tampilan dan keamanan terlihat bagus, sayangnya biaya admin terlalu tinggi untuk investor pemula,seharusnya pihak bareksa dapat mempertimbangkan lagi tentang biaya admin yg tergolong lebih mahal dari pada skuritas lain."
Ivan Herlambang,5,2023-04-18 18:17:24,sangat bagus buat org awam belajar investasi yang benar
Muhammad Luthfie Saryono,1,2023-04-18 14:18:39,"Kode otp nya ga terkirim², udh nyoba berkali kali juga sama aja ayolah ini masih tahap pendaftaran aja udh kek gini nih errornya :)"
Andie Prasetyo,5,2023-04-17 09:27:47,bagus dan mudah dipahami
Sri Hero,2,2023-04-16 07:44:01,"sungguh lama, kenapa kode OTP belum dikirim ?"
Mohammad Ongki,5,2023-04-15 05:36:53,"Reksadana ternyata ada bank penampung jadi klo beda rekening di kenai biaya juga, Dan beli sbn di bareksa sangat tidak rekomend klo bank nya digital, jadi di sini harus bank tertentu untuk beli sbn"
yolanda rosari boko,5,2023-04-14 01:40:55,Aplikasi yang sangat membantu untuk berinvenstasi tanpa ribet.
Husein Mawlay,3,2023-04-13 22:34:07,"Semua sudah bagus. Hanya tak ada informasi expense ratio, yang justru penting. Saya yakin pimpinan tertinggi bareksa sekalipun akan mikir mikir jika ingin beli rumah, jika semua plus minus rumah diberitahu, namun harga rumahnya sendiri tak diberi tahu. Pimpinan tertinggi... apalagi kita orang awam... mau beli rumah tapi ngga diberitahu harganya? Expense ratio."
ary wibowo,5,2023-04-12 00:41:50,So far puas dgn app bareksa. CS nya terbaik sih. Sayang aja bbrp pembayaran kena fee transaksi & PENGUMUMAN PEMENANG PROMO suka telat bbrp hari dari deadline yg sudah ditentukan bareksa sblmnya. Semoga kedepannya makin bagus pelayanannya. Sukses selalu BAREKSA
isekai,2,2023-04-11 23:08:28,kenapa proses pencairan ya begitu lama🔥🔥
Imam Aldi,5,2023-04-10 23:02:35,"yaaa sangat bagus apknya,ya semoga kedepannya lebih improf dan bisa dijadikan apk investasi yg dipercaya"
Surya Edi,1,2023-04-08 05:44:43,Parah mau daftar melalui nik KTP keterangannya saya udah terdaftar padahal saya belum pernah daftar sama sekali
Slamet Riyadi,5,2023-04-07 21:45:15,"Sangat menarik buat inves hanya di app ini nih...mantapp lanjut,.tabungan masa depan"
herdine a Y,1,2023-04-07 10:22:12,Makin hari makin berat aplikasinya. Tolong diperbaiki lagi
evermos satu,1,2023-04-04 01:24:13,"Customer servisnya buruk, gaa ada penyelesaian . Kalo bisa selesaikan case sy, saya tambah 🌟🌟🌟🌟 nya."
Muhammad Fiki,4,2023-03-31 17:44:34,Tambahkan fitur nabung rutin
Mahatma Chakra,3,2023-03-30 02:00:39,"Aplikasi stuck di halaman depan, tolong kelanjutannya bagaimana"
Abdul Majid,1,2023-03-29 21:36:22,Saya gak bisa log in semenjak pembaruan
teo lase,4,2023-03-29 00:34:25,"baru pakai, mudah mengoperasikan nya, sayang masih ada biaya transfer"
Indra Wahid,1,2023-03-26 00:06:08,untuk buybacknya lama sekali cair/masuk rekening
Auel Vie,1,2023-03-25 15:05:41,gak bisa lanjutin pembayaran aplikasinya bug
sutrisno,3,2023-03-25 04:33:58,Setelah update malah selalu muncul pesan verifikasi tertunda
Ar rosyid,1,2023-03-24 04:22:20,Pencairan katanya + 7 hari maksimal... Punyaku hampir 2 minggu padahal lg butuh banget.. Kelamaan prosesnya gk kaya reksa yg di marketplace langsung cair
M Al Arief,5,2023-03-22 10:28:07,"Bareksa makin keren dan mudah digunakan, teruslah jadi favorit investasi ✊🏻👍🏻"
Felix Sukarma,5,2023-03-21 10:58:09,"Bagus, simple, profit bagus. Ayo invest dibareksa super app"
Deki Kurniawan,5,2023-03-21 08:30:49,Tampilan UI tambah enak dilihat.. Semoga tambah sukses
Nawan Chafid,5,2023-03-19 06:34:09,"Cukup puas, mungkin pembayaran / top up bisa digratiskan semua"
Felex Billi Pradeta,4,2023-03-18 00:12:39,"Untuk fitur tabungan emas, kan ada Indogold juga ya? Tapi sepertinya menunya tidak ada. Mohon kalau belum siap, informasinya tidak perlu ditampilkan. Terima kasih."
Budiana Setiawan,5,2023-03-17 14:22:50,Aplikasinya asyik. Renyah 😀. Alhamdulillah lancar-lancar saja.
Masli Yana,4,2023-03-13 10:49:09,Pembohong dan pendusta berapa kali saya mau menarik penghasilan tidak bisa
prisca rosyta,5,2023-03-13 04:36:41,"Sangat simple, responsif dan mudah.. Tinggal klik2 semua beres..."
Masayu Aninda,3,2023-03-12 07:12:11,Aplikasi susah dibuka. Susah clear cache tapi masih lama dibuka.
Raden Gaming,5,2023-03-11 12:48:35,Sangat cocok untuk pemula yang mau belajar investasi seperti saya
ivan chandra,4,2023-03-10 11:10:04,"mohon dibuatkan semacam RDN atau dompet digital biar tidak perlu bolak balik topup, terima kasih"
Chany Maiaa,2,2023-03-07 10:40:26,Upgrade mlah tambh lemot suruh hapusin aplikasi which is important😪
Nino Artikel,5,2023-03-06 20:11:34,Bareksa keren dan terpercaya. Mudah utk investasi dan mudah untuk melakukan penarikan ke rekening.
Aku Siapa,5,2023-03-04 03:04:41,Cukup bagus dan withdraw cepat tidak bertele-tele
hadi luthfil,5,2023-03-03 12:14:15,lebih diperbaiki lagi interfacenya agar lebih menarik
Idrus Irvan,1,2023-03-02 11:08:49,"Mau invest aj dipersulit, dasar kocak ni apk, gak profesional sudah berkali-kali ttp aj gagal verifikasi,klo gak bsa gak usah nertbitin ni apk"
Irfan Ansadewa,1,2023-03-01 06:10:47,"Aplikasinya makin hari makin berat, sering kali eror dan hp ngelag krena ram 3gb, mungkin aplikasinya cocok buat hp dengan ram 8gb ke atas."
Firlando Aprianus,4,2023-02-27 02:37:34,"sejauh ini sudah bagus, tinggal tingkatkan untuk service promo saja.."
Anak Muda,1,2023-02-26 17:11:51,"Edit: Saya sudah memberikan screenshot mobile banking, menunjukkan nama dan nomor rekening saya sesuai. Dana tetap belum masuk ke rekening. Mending jadikan pengalaman kalian. Akal-bakalan saja saya rasa. Masa iya nama rekening tidak sesuai sudah Jelas² sama. Komentar sebelumnya: Pencairan lebih dari 3 hari. CS meminta foto rekening dengan mengatakan gagal dicairkan karna nama rekening terdaftar berbeda. Tapi di aplikasi tertulis berhasil. Tidak profesional."
Lap Bib,5,2023-02-25 13:30:36,Ini seprti saham bursa efek..sy msh ingat tahun 2000 di jkt.mainkan dengan pikirin tenang dan yakin..tahan ambisi dngn penuh optimis...bareksa fair mudah dipahami oleh pemula sekaligus.. tidak seperti aplikator lain...saya orang surabaya..
Yatnadark,2,2023-02-22 23:06:08,"makin hari app bareksa makin berat, susah untuk dibuka, padahal buka app yg ukurannya lebih besar dari bareksa bisa, tapi ini susah, restart hp, clear chache sudah tidak mempan."
Edward Adventus D (Edward),5,2023-02-21 12:03:26,"Mantap, banyak promo nya"
Anang ML,5,2023-02-21 11:29:56,termasuk cepat sih pembelian 2 hari kerja..beda sama di bibit sampe 3 ke 4 hari
Rino Pratama Putra (Rino),5,2023-02-18 05:11:21,Kemarin di sebelah sekarang di Bareksa saya suka di bareksa banyak pilihan produknya terima kasih 🙏
HawwinElina Arizka,5,2023-02-17 06:29:35,fiturnya baik semua... mudah dipelajari... cocok utk pemula...
Surapurna,1,2023-02-16 11:23:25,Buat investasi si ok. Tapi hati-hati kalo ada masalah pengembalian dana. Proses ribet banget surat pernyataan ini itu modal materai pulak. Return invest aja nggk kebeli materai. 7hari kerja proses lama. Blm tentu acc lagi. Lama lagi. Padahal apps lain kalo ada masalah di kasih bukti transfer dan nomer pesanan bisa langsung refund. Buat temen2 mohon sangat hati2 jangan sampai salah dan bermasalah dana ama Bareksa RIBET. mau di pakai uangnya malah nyangkut sampai skrng dr tgl 6 feb 2023.
KAERUDIN,5,2023-02-15 10:17:26,"User friendly,jadi mudah banget buat dipake sama digunainnya.kurangnya, masih belum ada auto investasi."
Junz,1,2023-02-14 23:04:04,"Dulu bareksa adalah aplikasi yg paling joss... tp skrg sudah gue tarik smw duitnya & aplikasi ini gw hapus. Karena portal investasinya tidak lengkap, fitur yang ditampilkan juga tidak lengkap, dan ada biaya untuk setiap transaksi penambahan dana."
Arba Agos Aditya Pranoto,5,2023-02-14 04:10:25,"Suka Bangett sama Bareksaa, Real Aplikasi Super App.. aplikasinya banyak pilihannya lengkap juga makin suka deh ama bareksa😍😍"
Ko Jd,1,2023-02-11 07:22:59,"Saya dulu sudah daftar, tapi hp saya yang lama udah hilang dan saya gak ingat email sama password nya sedang kan pas saya mau coba daftar ga bisa lagi karena no KTP nya sudah terdaftar, gimana ya solusinya."
Fadli Rahmawan,5,2023-02-09 12:10:14,"Menarik mudah digunakan, visualisasi portofolio juga mudah dipahami"
Wafiq Ilham,2,2023-02-09 09:37:47,Tanggal pencairan berubah-ubah dan tidak bisa switch produk terkendala nomor OTP
Zaenal Arifin,1,2023-02-08 05:44:04,"Untuk roboadvisornya tolong dibikin otomatis aja mengikuti perkembangan pasar, jadi saya ngga ngebuang buang waktu dan biaya untuk jual beli untuk menyeimbangkan portofolio saya, kelamaan. Bukannya untung malah ribet"
Hasyim Asy'ari,5,2023-02-07 14:54:22,"BAREKSA memang benar2 apk yg sangat bagus buat berinvestasi,semua lancar gak ada kendala dan tampilan juga oke, pokoknya mantap dah 👍👍👍👍👍 Apalagi ini apk sudah berijin OJK jadi apk ini benar2 aman dan terpercaya."
Kepin Santoso,5,2023-02-07 13:35:49,Aplikasi investasi reksadana yang sangat baik dari segala aspek.
Azril Aulia Akbar,1,2023-02-06 06:22:21,"Saya sadar saldo masih 100k karna memang masih memperdalam di bareksa, tapi apa iyaa pelayanan nya mandang nominal? Informasi abstrak ngga jelas, pelayanan chat live lelet kayanya mikir dulu, ditanya apa jawab kemana, hampir 10 hari join hari ini pamit logout Terimakasih..."
nurniyati,4,2023-02-01 11:06:16,"Agak syok nih ketika stelah vacuum lama terus mo invest lagi, lha kok ada biaya admin di ovo. Jd pengen nangis nih. Harapannya ke depan nya ada fitur bebas admin 5-10 x per bulan. Klo bisa, dana jgn langsung kirim k bank tpi d tampung dulu d dompetny bareksa, biar biaya admin antar bank berkurang. Kan bikin sedih klo jual 10 produk di itung biaya transfer per produk, ya tekor juga nih. Tingkatin terus layanan bareksa"
Didi Sutardi,1,2023-02-01 04:48:16,"Sangat disesalkan pembelian Reksadana dengan pembayaran menggunakan VA Bank dan E-wallet dikenakan biaya, semoga sesegera mungkin dapat digratiskan."
IMAN,3,2023-01-31 16:58:50,Kekurangan bareksa transfer virtual account kena biaya.kalah sama b***t yg gak ada biaya admin nya
Margaretha Delvinta Amalia,3,2023-01-30 03:03:23,"Kasih 3 dulu yah, nanti kedepannya kalau ada kemajuan tak upgrade"
rijwalun mulia,2,2023-01-29 04:32:39,Pencairan dana sungguh lama banget dan respon dari admin lama juga sampai menunggu 3 hari tapi kurang respon antara admin atau bagaian pencairan dana sayya bingung sama apk ini🤦🏻‍♂️ Saya kecewa sama layangan dari apk di ini...
Ayatulloh Mochammad Ramdhani,5,2023-01-28 02:39:35,"Tinggal UI nya aja sih yang kurang, mungkin pemilihan iconnya yang gak seragam jadi kurang dibanding aplikasi sejenis lainnya padahal sudah cukup lama"
agus prima,1,2023-01-27 12:17:28,"Untuk pembelian reksadana mantap,, bintang 5. untuk penjualan reksadana ok,, bintang 5. Untuk pembelian SBN mantap,,, bintang 5. Penjualan SBN sekunder merepotkan,, bintang 1."
Alfa Ramdani,2,2023-01-27 06:40:29,"Pilihan Reksadana lumayan banyak cuman tiap transaksi ada biaya nya, return dari modal investasi kayanya ga bisa nutupin biaya untuk Top-Up, ada pilihan yang gratis biaya tapi sepertinya kurang efektif"
rendi mh,2,2023-01-27 06:31:46,"fee nya terlalu mahal, klo pembayaran Via virtual account"
Badriyah Ridho,5,2023-01-26 15:08:00,Alhamdulillah aktif juga akun.x setelah sekian lama penuh drama buat daftar
Jie N,5,2023-01-24 07:30:17,"Aplikasi investasi yang mudah, aman dan terpercaya bagi pemula. Pilihan reksadana jg banyak, emas ada Pegadaian dan Treasury lalu Robo Advisor jg performanya oke banget."
Fikri Firdaus,5,2023-01-23 05:52:27,"Tampilan UI/UX Simple dan Smooth, jadi ga ribet seperti BCA Mobile, pertahankan jangan diubah. GOOD!"
Morits Hutagalung,5,2023-01-19 14:29:10,"aplikasi ok, mudah dimengerti"
agung muntara,1,2023-01-19 08:03:18,"Untuk pihak bareksa ini bebel apa gimana ya? Pilih opsi tf manual, udah trf +kirim bukti transfer keterangan gagal duitnya gk dibalikin, udah di email cuma ngasih keterangan gagal tapi uangnya gk di transfer balik... Kok gk menyelesaikan masalah ya"
Ievan Christopher Budiono,5,2023-01-18 16:13:22,Ini aplikasi sangat recommended lengkap dan bisa belajar pelan pelan untuk berinvestasi aman dan menguntungkan.
john darel,4,2023-01-17 12:02:42,"Cepat dan mudah digunakan 👍, tingkatkan kemampuan analisisnya......Bareksa saya gunakan u/ nabung reksadana, sedikit....sedikit become mountain 😎"
rid_one,5,2023-01-17 02:18:41,"tingkatkan terus, saran saya tambahin metode pembayaran lewat bank digital"
Braveheart,1,2023-01-16 14:33:23,"Pertama, kecewa dgn imbal hasil di porto yg tidak sesuai dengan update harian; Kedua, kecewa dengan penerapan biaya setiap top up. Cukup 13 hari saja gabung di apk ini. Bye Bareksa!"
isma Wati,1,2023-01-15 23:40:43,"Maaf, ini kenapa pembelian nya lama banget prosesnya, masih dalam proses terus, padahal kalau aku inves di ovo reksa dana cuma dua hari, terus untuk penjualannya juga cepat langsug cair tolong di proses di percepat ya trims🙏🙏"
Agung Nugroho,5,2023-01-15 15:31:20,mungkin saat ini investasi yg mudah dan aman menggunakan aplikasi Bareksa ini...harapan kita dengan adanya Bareksa ini bisa menambah income bagi para investornya secara terus menerus
Agus Setiawan (Hand Juang Ki Roro 22),5,2023-01-14 09:20:17,"💖 terimakasih, sangat membantu , saran ; keluhan , ditransaksi penjualannya , , dalam verifikasi OTP yang dikirim via SMS selalu terlambat diterima , baru dapat diterima (inbox), kira kira 15 sampai 20 menit , diharap selain via SMS ada juga via WA , 💖,"
IDRIS Hakim,5,2023-01-13 14:48:18,Aplikasi bagus untuk investasi... Buat masa depan 🙏
Ahmad Zacky,3,2023-01-12 21:53:06,"Mau aplikasinya Ngalahin Bibit yg udah 5juta pengguna? .. bareksa sekarang cuma 1juta pengguna... Ya.. jual/swith produk gratis kyk bibit. minimal Promo Lah 10x gratis transaksi/bulan.. Hapus itu mode pembayaran transfer secara manual banyak kejadian Gak masuk proses.. Gak efisien juga.. dan perbanyak kerja sama dengan dompet2 digital.. Masa cuma 2 doang linkaja & ovo.. Harusnya Bisa pakai Gopay.shopeepay.Dana, dll.."
Ario Accousticpro,4,2023-01-10 02:27:33,Saran sy tambahkan di pengaturan menu mode gelap. Jd bisa kita klik supaya tidak mencolok ketika kt lg buka aplikasi. Makasih
Jesaya Sembiring,1,2023-01-07 08:06:40,"Bukti sudah ditransfer ada, tp uang nya tidak masuk ke rekening saya. Nilainya tidak seberapa tapi kalian sudah membuktikan bahwa perusahaan anda tidak layak untuk dipercaya. Setelah postingan ini baru kalian sibuk, dari kmaren bukannya ditanggapi email saya ke cs perusahaan anda."
Anton riski Anton,5,2023-01-01 11:28:02,"Aplikasi ini memang cocok bagi yang awal kerjanya sopan, kalau ada yg gk sesuai di ulang."
Silvia Fitriani,5,2022-12-31 23:18:23,"Buat para pemula yang mau belajar inves dengan modal kecil, apk Bareksa solusinya"
Maykel Kalesaran,1,2022-12-27 07:14:10,"Mau jual aja dipeesulit, sudah masukin OTP tapi error. Woi bikin aplikasi itu yang benar, mau jual ini ga bisa."
