content,score,Label
"Kk,sy hub cs ngak di balas sudah berapa kali,apa bareksa sekarang mulai pendiam,uang sy walau pun saldo nya kecil tapi sy sangat memerlukan nya kk,mandiri Investa cerdas bangsa kelasA telah tutup,kok ambil uang di persulit pakai saldo harus 250 juta segala,tolong kah OJK mohon di urus sy jadi tidak percaya lagi dgn aplikasi ini tolonglah sy org kecil,jangan di persulit",1,Negatif
"Bagus aplikasinya, sangat lengkap dan simple",5,Positif
Tolong iklan nya jgn timbul terus walaupun hape lagi nggak di gunakan..,4,Positif
"proses pendaftaran sangat buruk , alasan foto selfie tidak sesuai kartu identitas padahal kartu dan foto selfie pribadi foto pun juga sudah sangat jelas. chat dengan cs juga tidak mendapat solusi hanya disuruh mengulang dan hasilnya sama",1,Negatif
Investasi jadi lebih mudah semudah genggaman,5,Positif
Tidak bisa buat kantong - kantong Portofolio,3,
CS cepat respon dan menyelesaikan masalah saya sebelumnya.,5,Positif
Siiip lumyan berubah tampilanya,5,Positif
"Mau uninstall nih, benar² mengecewakan widthdraw kena fee dan lemot banget. Begitu juga saat pembelian emas minta data dan harus verifikasi ulang lagi",1,Negatif
"Bareksa yang baik, saran saja, buatlah RDN di App nya agar gak ribet klu mau invest, jujur jadi agak malas, karena ribet transaksinya, semoga ada solusi, trims",5,Positif
"tidak bisa mengatasi inflasi,",3,
"KTP Seumur Hidup dibilang bukan e-KTP, verifikator bareksa lawak, Pakai Bibit aja",1,Negatif
"Masih baru, aplikasinya mudah dipahami dan panduannya juga ok aku mulai investasi di bareksa.",5,Positif
"Kenapa saya tidak bisa melakukan pembelian? Tidak muncul halaman pembayaran, yg ada cuma blank, Layar putih aja.",2,Negatif
"Tolong tambahkan fitur ahli waris, karena akan sangat membantu utk pengguna dan lebih merasa secure, thanks",5,Positif
saya kira ini sesuatu yang bagus buat investasi,5,Positif
Kenapa kadang aplikasinya ngga bisa di buka? Padahal sudah di update loh...,2,Negatif
"Panut di coba, kapan lagi meningkatkan aset",5,Positif
"aplikasinya berat, biaya admin lumayan, cs gak responsif, gak bisa membatalkan order, kena fee materai meski cuma order dibawah 10jt dan ada orderan lain yg gak bisa dibatalkan meski keesokan harinya pasti batal",1,Negatif
"Aku coba dulu, nanti kalo bagus aku tambah yah",1,Negatif
bagus untuk yg ingin investasi aman,5,Positif
mudah dipahami,4,Positif
"Rdpu yang seharusnya masa pencarian nya tidak lama,jadi sangat lama..hingga berhari hari. Parah",2,Negatif
"aplikasi yg bagus utk berinvestasi dgn aman, simpel dan gampang di monitor",5,Positif
Jenis Reksadananya sedikit kurang lengkap. Semoga bs ditambah lagi agar pilihan investor bervariasi,2,Negatif
kalau bisa virtual account gratis seperti BIBIT LEBIH CEPAT TRANSAKSI NYA,5,Positif
"Aplikasi lancar, jelas infonya, mudah, banyak pilihan. Dari awal install hingga sekarang aplikasi lancar, pembelian lancar, penjualan lancar. Alhamdulillah.",5,Positif
"Tolong tambahkan data hak untuk ahli waris seperti pada apk bibit,, untuk antisipasi jika investor kenapa2, misal tidak ada transaksi selama jangka waktu tertentu, meninggal, kecelakaan, hilang ingatan dan lain2... Supaya yg nabung juga lebih nyaman menabung di bareksa.",4,Positif
utk pembayaran kalo bisa gratis utk smua metode,5,Positif
Ini kalau nanti verifikasi wajahnya gagal lg untuk yg ketiga kali bakal saya kasih rating bintang 1 ya 😊,5,Positif
"Jual Reksadana lama, lebih cepat platform lain",1,Negatif
"Tolong, Biaya Admin Pembelian di tiada kan Saja, Dan untuk biaya transaksi pengiriman ke rekening dikurangi, Terlalu Melonjak ""3,500""... Saingan Aplikasi invest Banyak sekali, Ingat Jangan Karna ada beberapa Nasaba yg ingin berpindah aplikasi di karenakan Biaya"" Seperti yang saya sebutkan di atas. Inti Nya apa pun kalian ""devploper"" harus bisa mengerti bagaimana cara menarik perhatian nasabah yg ingin menggunakan aplikasi kalian. Dulu, Saya suka dengan aplikasi kalian. maaf, sekarang tidak.",2,Negatif
"Puas selalu cepat dalam pencarian dana dan pembelian, Ditingkatkan lagi kualitas nya, bravo Bareksa ✨",5,Positif
"ketika masukan kode otp error terus, tidak bisa login. kapok inves di sini.",1,Negatif
"Dari segi tampilan dan keamanan terlihat bagus, sayangnya biaya admin terlalu tinggi untuk investor pemula,seharusnya pihak bareksa dapat mempertimbangkan lagi tentang biaya admin yg tergolong lebih mahal dari pada skuritas lain.",2,Negatif
sangat bagus buat org awam belajar investasi yang benar,5,Positif
"Kode otp nya ga terkirim², udh nyoba berkali kali juga sama aja ayolah ini masih tahap pendaftaran aja udh kek gini nih errornya :)",1,Negatif
bagus dan mudah dipahami,5,Positif
"sungguh lama, kenapa kode OTP belum dikirim ?",2,Negatif
"Reksadana ternyata ada bank penampung jadi klo beda rekening di kenai biaya juga, Dan beli sbn di bareksa sangat tidak rekomend klo bank nya digital, jadi di sini harus bank tertentu untuk beli sbn",5,Positif
Aplikasi yang sangat membantu untuk berinvenstasi tanpa ribet.,5,Positif
"Semua sudah bagus. Hanya tak ada informasi expense ratio, yang justru penting. Saya yakin pimpinan tertinggi bareksa sekalipun akan mikir mikir jika ingin beli rumah, jika semua plus minus rumah diberitahu, namun harga rumahnya sendiri tak diberi tahu. Pimpinan tertinggi... apalagi kita orang awam... mau beli rumah tapi ngga diberitahu harganya? Expense ratio.",3,
So far puas dgn app bareksa. CS nya terbaik sih. Sayang aja bbrp pembayaran kena fee transaksi & PENGUMUMAN PEMENANG PROMO suka telat bbrp hari dari deadline yg sudah ditentukan bareksa sblmnya. Semoga kedepannya makin bagus pelayanannya. Sukses selalu BAREKSA,5,Positif
kenapa proses pencairan ya begitu lama🔥🔥,2,Negatif
"yaaa sangat bagus apknya,ya semoga kedepannya lebih improf dan bisa dijadikan apk investasi yg dipercaya",5,Positif
Parah mau daftar melalui nik KTP keterangannya saya udah terdaftar padahal saya belum pernah daftar sama sekali,1,Negatif
"Sangat menarik buat inves hanya di app ini nih...mantapp lanjut,.tabungan masa depan",5,Positif
Makin hari makin berat aplikasinya. Tolong diperbaiki lagi,1,Negatif
"Customer servisnya buruk, gaa ada penyelesaian . Kalo bisa selesaikan case sy, saya tambah 🌟🌟🌟🌟 nya.",1,Negatif
Tambahkan fitur nabung rutin,4,Positif
"Aplikasi stuck di halaman depan, tolong kelanjutannya bagaimana",3,
Saya gak bisa log in semenjak pembaruan,1,Negatif
"baru pakai, mudah mengoperasikan nya, sayang masih ada biaya transfer",4,Positif
untuk buybacknya lama sekali cair/masuk rekening,1,Negatif
gak bisa lanjutin pembayaran aplikasinya bug,1,Negatif
Setelah update malah selalu muncul pesan verifikasi tertunda,3,
Pencairan katanya + 7 hari maksimal... Punyaku hampir 2 minggu padahal lg butuh banget.. Kelamaan prosesnya gk kaya reksa yg di marketplace langsung cair,1,Negatif
"Bareksa makin keren dan mudah digunakan, teruslah jadi favorit investasi ✊🏻👍🏻",5,Positif
"Bagus, simple, profit bagus. Ayo invest dibareksa super app",5,Positif
Tampilan UI tambah enak dilihat.. Semoga tambah sukses,5,Positif
"Cukup puas, mungkin pembayaran / top up bisa digratiskan semua",5,Positif
"Untuk fitur tabungan emas, kan ada Indogold juga ya? Tapi sepertinya menunya tidak ada. Mohon kalau belum siap, informasinya tidak perlu ditampilkan. Terima kasih.",4,Positif
Aplikasinya asyik. Renyah 😀. Alhamdulillah lancar-lancar saja.,5,Positif
Pembohong dan pendusta berapa kali saya mau menarik penghasilan tidak bisa,4,Positif
"Sangat simple, responsif dan mudah.. Tinggal klik2 semua beres...",5,Positif
Aplikasi susah dibuka. Susah clear cache tapi masih lama dibuka.,3,
Sangat cocok untuk pemula yang mau belajar investasi seperti saya,5,Positif
"mohon dibuatkan semacam RDN atau dompet digital biar tidak perlu bolak balik topup, terima kasih",4,Positif
Upgrade mlah tambh lemot suruh hapusin aplikasi which is important😪,2,Negatif
Bareksa keren dan terpercaya. Mudah utk investasi dan mudah untuk melakukan penarikan ke rekening.,5,Positif
Cukup bagus dan withdraw cepat tidak bertele-tele,5,Positif
lebih diperbaiki lagi interfacenya agar lebih menarik,5,Positif
"Mau invest aj dipersulit, dasar kocak ni apk, gak profesional sudah berkali-kali ttp aj gagal verifikasi,klo gak bsa gak usah nertbitin ni apk",1,Negatif
"Aplikasinya makin hari makin berat, sering kali eror dan hp ngelag krena ram 3gb, mungkin aplikasinya cocok buat hp dengan ram 8gb ke atas.",1,Negatif
"sejauh ini sudah bagus, tinggal tingkatkan untuk service promo saja..",4,Positif
"Edit: Saya sudah memberikan screenshot mobile banking, menunjukkan nama dan nomor rekening saya sesuai. Dana tetap belum masuk ke rekening. Mending jadikan pengalaman kalian. Akal-bakalan saja saya rasa. Masa iya nama rekening tidak sesuai sudah Jelas² sama. Komentar sebelumnya: Pencairan lebih dari 3 hari. CS meminta foto rekening dengan mengatakan gagal dicairkan karna nama rekening terdaftar berbeda. Tapi di aplikasi tertulis berhasil. Tidak profesional.",1,Negatif
Ini seprti saham bursa efek..sy msh ingat tahun 2000 di jkt.mainkan dengan pikirin tenang dan yakin..tahan ambisi dngn penuh optimis...bareksa fair mudah dipahami oleh pemula sekaligus.. tidak seperti aplikator lain...saya orang surabaya..,5,Positif
"makin hari app bareksa makin berat, susah untuk dibuka, padahal buka app yg ukurannya lebih besar dari bareksa bisa, tapi ini susah, restart hp, clear chache sudah tidak mempan.",2,Negatif
"Mantap, banyak promo nya",5,Positif
termasuk cepat sih pembelian 2 hari kerja..beda sama di bibit sampe 3 ke 4 hari,5,Positif
Kemarin di sebelah sekarang di Bareksa saya suka di bareksa banyak pilihan produknya terima kasih 🙏,5,Positif
fiturnya baik semua... mudah dipelajari... cocok utk pemula...,5,Positif
Buat investasi si ok. Tapi hati-hati kalo ada masalah pengembalian dana. Proses ribet banget surat pernyataan ini itu modal materai pulak. Return invest aja nggk kebeli materai. 7hari kerja proses lama. Blm tentu acc lagi. Lama lagi. Padahal apps lain kalo ada masalah di kasih bukti transfer dan nomer pesanan bisa langsung refund. Buat temen2 mohon sangat hati2 jangan sampai salah dan bermasalah dana ama Bareksa RIBET. mau di pakai uangnya malah nyangkut sampai skrng dr tgl 6 feb 2023.,1,Negatif
"User friendly,jadi mudah banget buat dipake sama digunainnya.kurangnya, masih belum ada auto investasi.",5,Positif
"Dulu bareksa adalah aplikasi yg paling joss... tp skrg sudah gue tarik smw duitnya & aplikasi ini gw hapus. Karena portal investasinya tidak lengkap, fitur yang ditampilkan juga tidak lengkap, dan ada biaya untuk setiap transaksi penambahan dana.",1,Negatif
"Suka Bangett sama Bareksaa, Real Aplikasi Super App.. aplikasinya banyak pilihannya lengkap juga makin suka deh ama bareksa😍😍",5,Positif
"Saya dulu sudah daftar, tapi hp saya yang lama udah hilang dan saya gak ingat email sama password nya sedang kan pas saya mau coba daftar ga bisa lagi karena no KTP nya sudah terdaftar, gimana ya solusinya.",1,Negatif
"Menarik mudah digunakan, visualisasi portofolio juga mudah dipahami",5,Positif
Tanggal pencairan berubah-ubah dan tidak bisa switch produk terkendala nomor OTP,2,Negatif
"Untuk roboadvisornya tolong dibikin otomatis aja mengikuti perkembangan pasar, jadi saya ngga ngebuang buang waktu dan biaya untuk jual beli untuk menyeimbangkan portofolio saya, kelamaan. Bukannya untung malah ribet",1,Negatif
"BAREKSA memang benar2 apk yg sangat bagus buat berinvestasi,semua lancar gak ada kendala dan tampilan juga oke, pokoknya mantap dah 👍👍👍👍👍 Apalagi ini apk sudah berijin OJK jadi apk ini benar2 aman dan terpercaya.",5,Positif
Aplikasi investasi reksadana yang sangat baik dari segala aspek.,5,Positif
"Saya sadar saldo masih 100k karna memang masih memperdalam di bareksa, tapi apa iyaa pelayanan nya mandang nominal? Informasi abstrak ngga jelas, pelayanan chat live lelet kayanya mikir dulu, ditanya apa jawab kemana, hampir 10 hari join hari ini pamit logout Terimakasih...",1,Negatif
"Agak syok nih ketika stelah vacuum lama terus mo invest lagi, lha kok ada biaya admin di ovo. Jd pengen nangis nih. Harapannya ke depan nya ada fitur bebas admin 5-10 x per bulan. Klo bisa, dana jgn langsung kirim k bank tpi d tampung dulu d dompetny bareksa, biar biaya admin antar bank berkurang. Kan bikin sedih klo jual 10 produk di itung biaya transfer per produk, ya tekor juga nih. Tingkatin terus layanan bareksa",4,Positif
"Sangat disesalkan pembelian Reksadana dengan pembayaran menggunakan VA Bank dan E-wallet dikenakan biaya, semoga sesegera mungkin dapat digratiskan.",1,Negatif
Kekurangan bareksa transfer virtual account kena biaya.kalah sama b***t yg gak ada biaya admin nya,3,
"Kasih 3 dulu yah, nanti kedepannya kalau ada kemajuan tak upgrade",3,
Pencairan dana sungguh lama banget dan respon dari admin lama juga sampai menunggu 3 hari tapi kurang respon antara admin atau bagaian pencairan dana sayya bingung sama apk ini🤦🏻‍♂️ Saya kecewa sama layangan dari apk di ini...,2,Negatif
"Tinggal UI nya aja sih yang kurang, mungkin pemilihan iconnya yang gak seragam jadi kurang dibanding aplikasi sejenis lainnya padahal sudah cukup lama",5,Positif
"Untuk pembelian reksadana mantap,, bintang 5. untuk penjualan reksadana ok,, bintang 5. Untuk pembelian SBN mantap,,, bintang 5. Penjualan SBN sekunder merepotkan,, bintang 1.",1,Negatif
"Pilihan Reksadana lumayan banyak cuman tiap transaksi ada biaya nya, return dari modal investasi kayanya ga bisa nutupin biaya untuk Top-Up, ada pilihan yang gratis biaya tapi sepertinya kurang efektif",2,Negatif
"fee nya terlalu mahal, klo pembayaran Via virtual account",2,Negatif
Alhamdulillah aktif juga akun.x setelah sekian lama penuh drama buat daftar,5,Positif
"Aplikasi investasi yang mudah, aman dan terpercaya bagi pemula. Pilihan reksadana jg banyak, emas ada Pegadaian dan Treasury lalu Robo Advisor jg performanya oke banget.",5,Positif
"Tampilan UI/UX Simple dan Smooth, jadi ga ribet seperti BCA Mobile, pertahankan jangan diubah. GOOD!",5,Positif
"aplikasi ok, mudah dimengerti",5,Positif
"Untuk pihak bareksa ini bebel apa gimana ya? Pilih opsi tf manual, udah trf +kirim bukti transfer keterangan gagal duitnya gk dibalikin, udah di email cuma ngasih keterangan gagal tapi uangnya gk di transfer balik... Kok gk menyelesaikan masalah ya",1,Negatif
Ini aplikasi sangat recommended lengkap dan bisa belajar pelan pelan untuk berinvestasi aman dan menguntungkan.,5,Positif
"Cepat dan mudah digunakan 👍, tingkatkan kemampuan analisisnya......Bareksa saya gunakan u/ nabung reksadana, sedikit....sedikit become mountain 😎",4,Positif
"tingkatkan terus, saran saya tambahin metode pembayaran lewat bank digital",5,Positif
"Pertama, kecewa dgn imbal hasil di porto yg tidak sesuai dengan update harian; Kedua, kecewa dengan penerapan biaya setiap top up. Cukup 13 hari saja gabung di apk ini. Bye Bareksa!",1,Negatif
"Maaf, ini kenapa pembelian nya lama banget prosesnya, masih dalam proses terus, padahal kalau aku inves di ovo reksa dana cuma dua hari, terus untuk penjualannya juga cepat langsug cair tolong di proses di percepat ya trims🙏🙏",1,Negatif
mungkin saat ini investasi yg mudah dan aman menggunakan aplikasi Bareksa ini...harapan kita dengan adanya Bareksa ini bisa menambah income bagi para investornya secara terus menerus,5,Positif
"💖 terimakasih, sangat membantu , saran ; keluhan , ditransaksi penjualannya , , dalam verifikasi OTP yang dikirim via SMS selalu terlambat diterima , baru dapat diterima (inbox), kira kira 15 sampai 20 menit , diharap selain via SMS ada juga via WA , 💖,",5,Positif
Aplikasi bagus untuk investasi... Buat masa depan 🙏,5,Positif
"Mau aplikasinya Ngalahin Bibit yg udah 5juta pengguna? .. bareksa sekarang cuma 1juta pengguna... Ya.. jual/swith produk gratis kyk bibit. minimal Promo Lah 10x gratis transaksi/bulan.. Hapus itu mode pembayaran transfer secara manual banyak kejadian Gak masuk proses.. Gak efisien juga.. dan perbanyak kerja sama dengan dompet2 digital.. Masa cuma 2 doang linkaja & ovo.. Harusnya Bisa pakai Gopay.shopeepay.Dana, dll..",3,
Saran sy tambahkan di pengaturan menu mode gelap. Jd bisa kita klik supaya tidak mencolok ketika kt lg buka aplikasi. Makasih,4,Positif
"Bukti sudah ditransfer ada, tp uang nya tidak masuk ke rekening saya. Nilainya tidak seberapa tapi kalian sudah membuktikan bahwa perusahaan anda tidak layak untuk dipercaya. Setelah postingan ini baru kalian sibuk, dari kmaren bukannya ditanggapi email saya ke cs perusahaan anda.",1,Negatif
"Aplikasi ini memang cocok bagi yang awal kerjanya sopan, kalau ada yg gk sesuai di ulang.",5,Positif
"Buat para pemula yang mau belajar inves dengan modal kecil, apk Bareksa solusinya",5,Positif
"Mau jual aja dipeesulit, sudah masukin OTP tapi error. Woi bikin aplikasi itu yang benar, mau jual ini ga bisa.",1,Negatif
Untuk bareksa tolong lindungi nasabahmu yg modalnya kecil.. buatlah pembiayaan agar fee untuk pembeliannya bisa minim.. kalau lewat bank itu jelas merugikan.. jika rajin menabung perbulan 100rb tiap beli kena 4500 itu jelas nggak masuk akal hasilnya nggak nutup.. dari sini nasabah yg punya uang nggak dapat apa2 bareksa yg ngelola.. bank yg dapat untungnya.. buat yg mau invest jangan setor hanya dengan uang kecil 100rb atau kurang jelas akan rugi..,5,Positif
aplikasi bareksa cukup bisa diandalkan dalam memberikan pilihan dalam berinvestasi,5,Positif
Habis update versi baru malah ke log out sendiri. Coba login tapi password ga bisa. Sudah reset password tetep aja password baru ga bisa login Kendala ditangani dengan cepat. Good job,5,Positif
"Fitur lupa password tidak fungsi. Saya tidak bisa login dengan password baru, padahal sebelumnya saya berhasil mengganti password pada fitur lupa password. Mohon perhatiannya..",3,
"Buka apps pagi2, ternyata disuruh buat PIN. Setelah coba buat PIN sampai 3 kali gagal, lalu disuruh masukkan PIN yg lama. Setelah dimasukkan PIN yg lama, di bilang PIN yg anda masukkan salah... 😯☹️",1,Negatif
"Mohon petunjuknya aplikasi bareksa dana saya tidak bisa di buka , saat di buka hanya sampai pada tampilan depan saja, terimakasih",3,
Aplikasi Reksadana aplikasi yang cocok untuk pemula yang ingin belajar berinvestasi dengan modal yang kecil.Dan bisa nabung tiap bulan nya.aplikasi paling rekomendasi,5,Positif
Kok ga bisa scan KTP ya habis nunggu proses scan malah kembali ke menu awal.. sudah ngulang 4x mungkin ga berjodoh investasi di aplikasi ini,1,Negatif
"Aplikasi sering ngadat. CS nya ga guna jawab pake template terus. Bertransaksi jual obligasi dan reksadana ribet, kena cas kl ga pake rek BCA.",1,Negatif
"Saat penjualan reksa dana nomor otp telepon susah muncul di pesan, proses pembayarannya sangat lama lebih cepat bibit.",1,Negatif
"App error akun rekening kurang huruf 1 krna digit app bareksanya, malah transaksi penjualan ga masuk rekening...komplain live chat malah disarankan ganti nama sama ganti no rek...udah ganti norek, nama kita tetap kurang 1 huruf dan ga ada menu edit nama....pdhal kita lagi butuh dana cepat2...sdh lebih H+7 ga masuk2 ke rekening dana kita....",1,Negatif
Apa boleh kita daftar cuma sekedar iseng² mau tau isi nya doang dan skema nya gimana. Kalo pun ada dana nya belum tentu minat. Kalo boleh kasih bintang 5 itung-itung edukasi. N jgn telpon² kalo ada opsi hapus akun. Aku hapus sendiri.,1,Negatif
"aplikasi simple , tampilan sangat mudah di pahami, warna tampilan nyaman di mata, hanya saja proses pembelian dan pencairan dana yg lumayan lama, tolong diperbaiki . terima kasih",5,Positif
sdh daftar lebih dari 3 hari.. tapi masih belum bisa transaksi sampai sekarang..mudah2an ke depannya bis coba lagi Mgkn bisa,3,
"Sudah cukup pakai bareksa, mending pindah ke bibit. Ada biaya-biaya saat beli reksadana, saat sbn sudah lama tidak beli malah dinonaktifkan dan harus aktivasi ulang bikin ribet. Pindah ke platform lain.",1,Negatif
"Saran saya buat Bareksa, tolong lebih di percepat untuk depositnya karena terlalu lama, dan untuk pencairannya juga cukup lama, jadi tolong di percepat itu saja keluhan saya semoga kedepannya bisa lebih baik",4,Positif
"Promo paling menarik malah di hilangkan. Pembayaran sekarang kena Rp. 1000 padahal sblm""nya gartis lewat ovo. Dan skrg g ada chasback ovo point 1 persen. Terlalu bnyak promo ga jelas yg undiannya pada ngaret. Mending konsisten saja dengan promo bulanan. Lama"" pindah ke aplikasi sebelah",1,Negatif
"bagus aplikasi nya, kalau bisa tidak ada biaya admin top up. agar kita lebih semangat berinvestasi, mohon di pertimbangkan. terimakasih",5,Positif
Kinerja aplikasi baik dan tampilan UI sangat mudah dipahami dan elegan menjadikan pengalaman berinvestasi semakin nyaman dan menggembirakan,5,Positif
aplikasi nya bagus... hanya UI nya yang harus banyak d perbaiki agar mudah di pahami user,4,Positif
Mudah di akses. Beli investasi tidak ada masalah. Informasinya lengkap dan bisa dipahami.,5,Positif
"saya sudah beberapa kali komplain soal gak bisa ubah data alamat di app sama cs whatsapp,dan gak memuaskan penyelesaiannya",1,Negatif
"Bye Bareksa. Sekarang Bareksa sudah tidak menerima pembayaran melalu aplikasi transfer perantara seperti FLIP. Jadi, sudah saatnya meninggalkan Bareksa.",1,Negatif
Aplikasi Bareksa ini kok gak bisa mendaftar ke aplikasi nya saya ini mau mendaftar mau investasi pas tampilan tanda tangan gak bisa di proses sama pihaknya Bareksa. Mohon segera menerima mendaftar saya kalau tidak nanti saya laporkan polisi .,3,
"pakai bareksa sangat cocok untuk pemula untuk berinvestasi yg modal kecil dan bisa nabung tiap bulan, aku kasi bintang 5 karena info pemeliharaan sistem sudah terjadwal top deh 👍",5,Positif
Ternyata game in bikin kita kaya mendadak . Sy akan memain kan game ini smpai kapanpun . Ayo kita sm2 main kan game ini . Untk meraih duit besar semoga game ini bermanfaat buat sy kaya,5,Positif
"Baru daftar , sudah approved , login lagi tidak bisa , dikatakan email dan sandi salah , koq aneh",1,Negatif
"Tampilannya oke, clean dan penfgunaannya mudah. Hanya metode pembeliannya agak kurang banyak pilihan.",5,Positif
Aplikasi investasi reksadana & emas terbaik yang pernah saya pakai. Fiturnya lengkap dan tampilan enak dilihat dan sangat mudah... Mohon untuk diperbanyak lagi metode pembayaran lewat dompet digital yg lain.. Aplikasinya sudah sangat bagus tinggal dibenahi dimetode pembayaran...,5,Positif
Ini kenapa appnya ga bisa diupdate? Udah beberapa kali coba untuk update tapi ga bisa dan ga ada penjelasan apa-apa melalu email 😠,3,
"Daftarnya gampang ga ribet, proses transaksinya cepat, respon dari customer care nya juga bagus setiap keluhan d tangani sampai tuntas. Good job",5,Positif
"Thnkyou for help me bareksa. Sangat membantu untuk menyiapkan masa depan, semoga kedepannya lebih banyak produk di bareksa.",5,Positif
